id,name,parent,sort_order
tupianguanli199,图片管理,tupianxiangguan193,6
OCRtupianwenzishibie200,OCR图片文字识别,tupianxiangguan193,7
GIFdongtuluzhi201,GIF动图录制,tupianxiangguan193,8
shejiaoliaotian202,社交聊天,diannaochangyong134,7
jieyasuoxiangguan203,解压缩相关,diannaochangyong134,8
anzhuomoniqi204,安卓模拟器,diannaochangyong134,9
zhuomianzhengli205,桌面整理,diannaochangyong134,10
chouqianchoujiang206,抽签抽奖,diannaochangyong134,11
caiwuxiangguan207,财务相关,diannaochangyong134,12
dazilianxi208,打字练习,diannaochangyong134,13
jinxiaocunguanli209,进销存管理,diannaochangyong134,14
paikexitong210,排课系统,diannaochangyong134,15
CADxiangguanCASS211,CAD相关／CASS,diannaochangyong134,16
shubiaodianlianqi212,鼠标点连器,diannaochangyong134,17
shoujichangyong213,手机常用,,8
shejiaoshequ214,社交／社区,shoujichangyong213,1
gouwuzhifu215,购物／支付,shoujichangyong213,2
xiaolvbangong216,效率／办公,shoujichangyong213,3
qingdanfanqiezhong217,清单／番茄钟,xiaolvbangong216,1
zhengjianzhao218,证件照,xiaolvbangong216,2
wendangsaomiao219,文档扫描,xiaolvbangong216,3
youxiang220,邮箱,xiaolvbangong216,4
xuexijianshen221,学习／健身,shoujichangyong213,4
yingyu222,英语,xuexijianshen221,1
jiazhao223,驾照,xuexijianshen221,2
jianshen224,健身,xuexijianshen221,3
putonghua225,普通话,xuexijianshen221,4
kechengbiao226,课程表,xuexijianshen221,5
tupianxiangguan227,图片相关,shoujichangyong213,5
koutu228,抠图,tupianxiangguan227,1
Ptu229,P图,tupianxiangguan227,2
wenjianguanlijieyasuo230,文件管理／解压缩,shoujichangyong213,6
pingbiguanggaozidongtiaoguogua231,屏蔽广告／自动跳过广告,shoujichangyong213,7
xinwen232,新闻,shoujichangyong213,8
ditu233,地图,shoujichangyong213,9
shenghuo234,生活,shoujichangyong213,10
youxi235,游戏,shoujichangyong213,11
anquanqingli236,安全／清理,shoujichangyong213,12
rijijizhang237,日记／记账,shoujichangyong213,13
xunidingweishuabu238,虚拟定位／刷步,shoujichangyong213,14
yingyongduokaishoujifenshen239,应用多开／手机分身,shoujichangyong213,15
pinpaianzhuozidaifenshengongne240,品牌安卓自带分身功能,yingyongduokaishoujifenshen239,1
KgeKTV241,K歌／KTV,shoujichangyong213,16
mianfeisouti242,免费搜题,shoujichangyong213,17
yiliaojiankang243,医疗健康,shoujichangyong213,18
IPAziyuaniOSziqian244,IPA资源／iOS自签,shoujichangyong213,19
IPAziyuanxiazaizhan245,IPA资源下载站,IPAziyuaniOSziqian244,1
zhengshuqianming246,证书签名,IPAziyuaniOSziqian244,2
changyongwangzhan247,常用网站,,9
juhewangpansousuo248,聚合网盘搜索,changyongwangzhan247,1
danwangpansousuo249,单网盘搜索,changyongwangzhan247,2
disanfanggugesousuo250,第三方谷歌搜索🔥,changyongwangzhan247,3
shipinjiexixiazaizhan251,视频解析下载站,changyongwangzhan247,4
youzhiruanjianxiazaizhan252,优质软件下载站,changyongwangzhan247,5
zhitigonglvseruanjian253,只提供绿色软件,youzhiruanjianxiazaizhan252,1
guowaipojieruanjianxiazaizhan254,国外破解软件下载站,changyongwangzhan247,6
mianfeiPPTmuban255,免费PPT模板,changyongwangzhan247,7
mianfei256,免费,mianfeiPPTmuban255,1
banshoufeibanmianfei257,半收费半免费,mianfeiPPTmuban255,2
guowaifufei258,国外付费,mianfeiPPTmuban255,3
mianfeijianlimuban259,免费简历模板,changyongwangzhan247,8
mianfeijianlimubanxiazai260,免费简历模板下载,mianfeijianlimuban259,1
mianfeizaixianjianlizhizuo261,免费在线简历制作,mianfeijianlimuban259,2
mianfeizaixianshejileijianlimu262,免费在线设计类简历模板,mianfeijianlimuban259,3
huiyuanpinchehezu263,会员拼车合租🔥,changyongwangzhan247,9
daogoubijiafanli264,导购／比价／返利,changyongwangzhan247,10
daogou265,导购,daogoubijiafanli264,1
fanliwangzhan266,返利网站,daogoubijiafanli264,2
lishijiage267,历史价格,daogoubijiafanli264,3
linshichuanwenjian268,临时传文件,changyongwangzhan247,11
linshiwangpan269,临时网盘,linshichuanwenjian268,1
zhilianhuchuan270,直连互传,linshichuanwenjian268,2
zaixianyitusoutu271,在线以图搜图,changyongwangzhan247,12
pojieyouxixiazai272,破解游戏下载,changyongwangzhan247,13
zaixianlaoyouxi273,在线老游戏,changyongwangzhan247,14
yunyouxi274,云游戏,changyongwangzhan247,15
bizhi275,壁纸,changyongwangzhan247,16
lengmenwangzhan276,冷门网站,,10
biaoqingbao277,表情包,lengmenwangzhan276,1
ditu278,地图,lengmenwangzhan276,2
duanxinjiemapingtai279,短信接码平台,lengmenwangzhan276,3
gezhongshengchengqi280,各种生成器,lengmenwangzhan276,4
huashushengchengqi281,话术生成器,gezhongshengchengqi280,1
zitishengchengqi282,字体生成器,gezhongshengchengqi280,2
gongjuxiangzhan283,工具箱站,lengmenwangzhan276,5
linshiyouxiangwuxianyouxiang284,临时邮箱／无限邮箱,lengmenwangzhan276,6
wangzhisuoduan285,网址缩短,lengmenwangzhan276,7
guojiabiaozhunhangyebiaozhun286,国家标准／行业标准,lengmenwangzhan276,8
hangyebaogao287,行业报告,lengmenwangzhan276,9
guojiajigougongkaishuju288,国家机构公开数据,hangyebaogao287,1
lingshouhangyexiangguanbaogao289,零售行业相关报告,hangyebaogao287,2
qiyexinxibaogao290,企业信息报告,hangyebaogao287,3
taicisousuo291,台词搜索,lengmenwangzhan276,10
chamimaxielou292,查密码泄露,lengmenwangzhan276,11
bangdan293,榜单,lengmenwangzhan276,12
shejiaopingtai294,社交平台,bangdan293,1
dianjingpaihangbang295,电竞排行榜,bangdan293,2
duanshipindianshangpaihangbang296,短视频电商排行榜,bangdan293,3
pingguoAPPyingyongpaihangbang297,苹果APP应用排行榜,bangdan293,4
shoushilvpiaofangpaihangbang298,收视率票房排行榜,bangdan293,5
zhibopingtaipaibangbang299,直播平台排榜榜,bangdan293,6
xuexiwangzhan300,学习网站,,11
zhongwaiwenxianxiazai301,中外文献下载,xuexiwangzhan300,1
mianfeisousuowaiwenwenxian302,免费搜索外文文献,zhongwaiwenxianxiazai301,1
waiwenwenxianyuanwenshujuku303,外文文献原文数据库,zhongwaiwenxianxiazai301,2
zaixianzidian304,在线字典,xuexiwangzhan300,2
xiezuojiaodui305,写作校对,xuexiwangzhan300,3
mianfeisouti306,免费搜题,xuexiwangzhan300,4
zhihuishuzhidaochaoxingeryaxue307,智慧树／知到／超星／尔雅／学习通查答案,mianfeisouti306,1
youershaoerjiaoyu308,幼儿少儿教育,xuexiwangzhan300,5
zhongxiaoxuekecheng309,中小学课程,xuexiwangzhan300,6
yuwen310,语文,zhongxiaoxuekecheng309,1
shuxue311,数学,zhongxiaoxuekecheng309,2
yingyu312,英语,zhongxiaoxuekecheng309,3
wuli313,物理,zhongxiaoxuekecheng309,4
huaxue314,化学,zhongxiaoxuekecheng309,5
shengwu315,生物,zhongxiaoxuekecheng309,6
zhengzhi316,政治,zhongxiaoxuekecheng309,7
lishi317,历史,zhongxiaoxuekecheng309,8
dili318,地理,zhongxiaoxuekecheng309,9
daxuekecheng319,大学课程,xuexiwangzhan300,7
zhiminggaoxiaokechenggongxiang320,知名高校课程共享,daxuekecheng319,1
gonggongtikulinianzhenti321,公共题库／历年真题,xuexiwangzhan300,8
mianfeikejianjiaoan322,免费课件／教案,xuexiwangzhan300,9
xuechanggexueyinyue323,学唱歌／学音乐,xuexiwangzhan300,10
gangqinpu324,钢琴谱,xuechanggexueyinyue323,1
xuewudao325,学舞蹈,xuexiwangzhan300,11
jueshiwu326,爵士舞,xuewudao325,1
